location,Coords,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
SONBHADRA,"(24.38657525, 83.07863061278505)",13.9,10.3,6.3,11.9,126.7,286.4,292.8,211,34.8,5.9,7,
MAHARAJGANJ,"(27.09254225, 83.56696261338257)",9.8,12.9,15.7,36.2,187.5,421.3,371.9,233.4,72.3,4.9,5.6,
MAU,"(26.0376878, 83.49793418499047)",9,9,5.7,19.2,117.7,336.9,323.5,226.6,46.6,7.1,4.2,
SIDDHARTH NGR,"(28.6424826, 77.1755884)",10.4,9.3,6,21.8,139.7,357.8,314.7,197.7,63.4,1.6,7.8,
KUSHINAGAR,"(26.7438272, 83.9162322)",10.1,10.9,12.7,36.1,182.6,369.4,365.6,240.8,71.4,4.2,7.5,
AMBEDKAR NAGAR,"(26.40349795, 82.60728148676125)",11,8.5,6.2,17.9,102.2,317.8,282.4,202.4,40.2,3.6,6.3,
KANNAUJ,"(26.999697400000002, 79.68861212775874)",11.5,9,3.7,16.2,58.9,244.5,311.4,161.9,61.4,2.9,5.4,
BALRAMPUR,"(27.4504805, 82.39541774073132)",16.9,8.2,9.3,38.6,141.4,385.4,329.9,215,72.6,1.2,10.6,
KAUSHAMBI,"(25.53868215, 81.45034105480562)",11.7,8.1,3.4,7.4,72.6,258.8,268,166.2,36.1,6.6,7.3,
KANPUR DEHAT,"(26.4600465, 79.85550999615592)",11.4,5.5,2.7,6.3,70.7,237,289.6,167.7,44.4,2.9,5.5,
CHANDAULI,"(25.1265777, 83.2496557733391)",12.1,11.6,5.3,10.3,79,302.3,283.8,181,31.8,10.2,3.7,
SANT KABIR NGR,"(0, 0)",13.1,10.5,5.1,20.8,139.8,356.7,300.5,193.7,50.9,1.2,6.5,
SANT RAVIDAS,"(25.3560294, 82.50057725197018)",12.1,11.6,5.3,10.3,79,302.3,283.8,181,31.8,10.2,3.7,
AGRA,"(27.1752554, 78.0098161)",9.9,8.9,4,9.3,53.8,227.1,280.9,125.4,28.1,5,4.7,
ALIGARH,"(27.833333, 78.166667)",12.6,9.4,5.6,18.4,47.4,213.1,261.9,133.3,39,4.2,6.6,
BAREILLY,"(28.416667, 79.383333)",18.9,12.6,5.6,18.7,96.6,294.7,296.7,165.8,57.9,2.4,6.4,
BIJNOR,"(29.40604895, 78.48087839917878)",25,24.1,8.2,19.1,92,342.4,321,158.8,40,6.4,11.9,
BADAUN,"(28.116667, 78.983333)",16.1,11.7,3.7,14.5,69.4,252.4,292.7,143.5,58.8,2.7,5.9,
BULANDSHAHAR,"(28.5246712, 77.5996529)",13.2,13.1,3.9,14,53.4,224.5,254.4,138.4,36.2,4.2,7.5,
ETAH,"(27.5541146, 78.60078640304634)",12,9.9,4.4,11.6,52.1,201.5,243.1,118.6,41.6,2.3,4.3,
ETAWAH,"(26.718324350000003, 79.09025375025163)",11.7,8.9,2.8,10.5,60.9,222,293.4,151.7,45,2.9,5.9,
HAMIRPUR,"(25.75, 80.0)",11.5,5.3,2.1,6.7,76.3,246.6,309.8,164.2,33.3,3.9,6,
JALAUN,"(26.105546, 79.42765264782076)",11.2,5.7,2,8.1,65.7,239.5,310.8,158.9,47.2,3.6,5.3,
JHANSI,"(25.530130800000002, 78.65242146225927)",10.5,5.3,4.7,8.7,79,271.8,309.9,177.2,37.2,6.6,6.5,
LALITPUR,"(24.70038485, 78.51866758648347)",9.4,6.5,3.4,6.8,86.2,321.7,358.1,173.3,34.1,6.7,7.4,
MAINPURI,"(27.2098219, 79.04813700847944)",9.5,8.1,3.8,9.9,61.3,211.5,245.9,136.6,40.1,3.7,6.2,
MATHURA,"(27.633333, 77.583333)",11.2,9.5,4.5,9.5,41.3,194.7,241.6,102.3,23.6,3.8,4.6,
MEERUT,"(29.000652549999998, 77.76822875372174)",18.3,16,9.4,14.4,62,267,300.7,148.8,41.6,5.4,11.2,
MORADABAD,"(28.8638424, 78.80577833091104)",21.8,13,4.7,15.8,91,292.7,314.8,156.7,47.7,3.3,8.9,
MUZAFFARNAGAR,"(29.44800635, 77.74068502568672)",19.6,14.4,5.9,14.3,64.7,265.2,269.7,137.2,34.5,6.2,12.4,
PILIBHIT,"(28.690806600000002, 79.83107248812297)",16.9,14.3,5.8,23,112.7,326.5,343.5,205.9,73.6,4.4,7.9,
RAMPUR,"(24.890090999999998, 83.73254274787365)",22.5,19.2,7.4,22.2,107,331.5,321.2,155.8,34,4,11.1,
SAHARANPUR,"(29.9880774, 77.5081299470512)",26.5,21.3,5.7,21.2,94.6,277,301.6,131.4,34.5,8.3,14.9,
SHAHJAHANPUR,"(27.912633149999998, 79.74656294869826)",17.5,13,4.8,20.2,96.2,290.4,307.3,165.3,68.5,3.5,7.2,
GHAZIABAD,"(28.6711527, 77.4120356)",18.3,18,6.1,12.5,44.6,213.5,255.6,128,37,5,8.1,
FIROZABAD,"(27.17736635, 78.38991197951182)",10.9,7.5,3.8,10.3,59.5,216.9,258.1,141.8,35.5,2.9,5,
MAHOBA,"(25.36176885, 79.70499475331877)",10.6,4.8,1.2,7.4,66.2,243.1,314.3,152.8,24.9,4.7,5.7,
AURAIYA,"(26.65573395, 79.51504701181831)",16.5,7.7,3.2,10.8,59.8,226.9,268.3,145,50.7,3.7,5.8,
BAGPAT,"(23.4305284, 69.2124939)",16.3,12.7,7.4,13.6,42.8,194,220.3,88.2,21.6,4.9,7,
JYOTIBA PHULE,"(28.76022915, 78.28262527789622)",15.7,15.9,4.4,13.9,59.7,279.3,298.5,145.5,48.6,5.3,7.8,
GAUTAM BUDDHA,"(51.1816631, 4.4064635)",9.3,12.4,5,6,36.9,181.7,228.6,125.6,35.8,3.4,5.4,
ALMORA,"(29.703094999999998, 79.43317023326716)",46.8,47.4,25.5,46.7,132.3,299.9,276.9,149.3,57.2,8.1,21,
CHAMOLI,"(30.5, 79.5)",77.7,81.9,42.9,69.4,108.7,289.6,329.2,131.8,43.5,10.2,24.6,
DEHRADUN,"(30.3255646, 78.0436813)",49.3,49.8,24.2,50.8,185.2,683.3,673.9,259.7,62.6,12.9,20.5,
GARHWAL PAURI,"(30.1479882, 78.7759518)",33.2,35.5,19.4,38.3,123.5,452.5,443.7,193.8,55.7,7.4,17.9,
NAINITAL,"(29.29478295, 79.41548093726253)",41,37.7,20.9,54.4,205,514,458.3,261.8,82.2,6.5,15.9,
PITHORAGARH,"(29.585871, 80.215167)",57.4,65.6,46.2,93.5,299.6,555.8,538.9,293.6,65.3,12.5,19.3,
GARHWAL TEHRI,"(30.40260205, 78.38835789037978)",52.2,56.3,31.7,55.9,136.2,371.5,366.7,172.7,48.4,10.3,28.5,
UTTARKASHI,"(30.7291049, 78.4403495)",72.8,84.9,48.5,102.1,147.6,380.6,405.2,215.2,59.6,13.3,25,
HARIDWAR,"(29.9384473, 78.1452985)",35.9,30.4,12.2,21.8,105.7,332.4,367,156.8,29.7,4.4,14.6,
CHAMPAWAT,"(29.23631315, 80.10172076512075)",39.3,33.7,26.9,52.5,213.1,465.9,406.3,234.4,77.4,8.2,22.7,
RUDRAPRAYAG,"(30.3009965, 79.06287964782695)",73.3,85.4,54.7,94.1,217.7,578,639.4,236,52.6,13.7,30.4,
UDHAM SINGH N,"(28.7055627, 77.1615139)",19,15.7,9,32.9,147.4,402.9,365.8,203.8,73.5,4.5,9.4,
BAGESHWAR,"(30.0084975, 79.93004575415591)",46.8,47.4,25.5,46.7,132.3,299.9,276.9,149.3,57.2,8.1,21,
AMBALA,"(30.3843674, 76.770421)",31.6,25.3,7.7,20.5,105.2,307.8,326,177.6,34.4,8.8,20.9,
GURGAON,"(28.42826235, 77.00270014657752)",11.7,7,6.4,13.9,38,169,185.2,80.1,12.7,5.5,4.3,
HISAR,"(29.080640950000003, 75.788754109493)",12.2,9.7,7.4,14.5,35.1,118.8,113.8,57.4,13,4.5,4,
JIND,"(29.301826249999998, 76.33847076788838)",18.7,12.4,5.4,14.9,40.7,142.3,147,85.6,15.8,5.1,4.8,
KARNAL,"(29.6803266, 76.9896254)",21.4,19.4,8.9,13.1,60.3,197.8,224.3,94.6,26.2,5.9,12.2,
MAHENDRAGARH,"(28.25, 76.166667)",10.9,9.4,5.3,18.9,43.5,154.3,144.4,53.2,14.1,3.5,6.9,
ROHTAK,"(28.9010899, 76.5801935)",16.8,17.7,9.3,19.8,49.5,194.1,195.8,68.6,13.4,5.8,7.9,
BHIWANI,"(28.7931703, 76.1391283)",10.4,8.1,5.5,11.2,32.3,128.2,132,56,13.4,4.2,3.6,
FARIDABAD,"(28.4031478, 77.3105561)",12.3,10.4,10.7,16.1,42.2,201.6,234.7,121.7,18.7,6,6.7,
KURUKSHETRA,"(29.9693747, 76.8482787)",19.4,21.5,9.8,10.2,66.3,202.3,203.3,91.1,23.5,5.2,10.1,
SIRSA,"(29.583333, 75.083333)",11.6,10.1,5.5,12.1,23,99.8,81.7,37.6,13.4,4.9,2.8,
YAMUNANAGAR,"(30.2112003, 77.28638972360895)",34.9,31.9,15.1,26.4,117.8,304.4,325.4,144.5,36,6.8,21.3,
KAITHAL,"(29.822820749999998, 76.37830986647243)",15.2,12.5,5.6,8.5,42.2,128.3,140.1,73.4,14.2,3.9,4.9,
PANIPAT,"(29.3912753, 76.9771675)",15.8,12.6,9.5,9.9,55.1,176.2,203.9,86.5,21.8,4.7,7.5,
REWARI,"(28.1956468, 76.6165179)",8.7,5.2,3,9.9,33.1,150.1,183.5,69.1,13.2,3.5,3.8,
FATEHABAD,"(29.51238035, 75.4291789790538)",11,11.2,6.8,14.9,31.3,104.3,95.9,51.5,12.4,3.6,5,
JHAJJAR,"(28.53364155, 76.68981477716189)",12.5,9.7,7.5,10.6,34.4,159.3,151.2,72.4,11,3.4,4.6,
PANCHKULA,"(30.7137692, 76.86827600027706)",37.4,27.8,11.5,27.9,105.6,327,346.6,171.2,18.7,12.2,18.7,
MEWAT,"(27.993178, 77.04073902524605)",9.6,6.3,5.2,9.8,41.3,167.2,194,99.3,20.7,4.1,5.1,
CHANDIGARH,"(30.72984395, 76.78414567016054)",38.9,33.2,14.8,30.1,120,282.4,287.5,154.3,31.8,9.9,23.4,
NEW DELHI,"(28.6138954, 77.2090057)",16.3,15.3,8.9,19.3,59.8,220.7,245.5,110.2,20.5,5.6,8.6,
CENTRAL DELHI,"(28.69854835, 77.2193906890312)",16.3,15.3,8.9,19.3,59.8,220.7,245.5,110.2,20.5,5.6,8.6,
EAST DELHI,"(28.61976385, 77.30955022430011)",16.3,15.3,8.9,19.3,59.8,220.7,245.5,110.2,20.5,5.6,8.6,
NORTH DELHI,"(28.78722785, 77.09809032829239)",16.3,15.3,8.9,19.3,59.8,220.7,245.5,110.2,20.5,5.6,8.6,
NE DELHI,"(37.3690819, 97.36011)",16.3,15.3,8.9,19.3,59.8,220.7,245.5,110.2,20.5,5.6,8.6,
SW DELHI,"(28.82278195, 77.12576438818729)",16.3,15.3,8.9,19.3,59.8,220.7,245.5,110.2,20.5,5.6,8.6,
NW DELHI,"(28.6138954, 77.2090057)",16.3,15.3,8.9,19.3,59.8,220.7,245.5,110.2,20.5,5.6,8.6,
SOUTH DELHI,"(28.485169399999997, 77.19636520348229)",16.3,15.3,8.9,19.3,59.8,220.7,245.5,110.2,20.5,5.6,8.6,
WEST DELHI,"(28.6479519, 77.08556541088615)",16.3,15.3,8.9,19.3,59.8,220.7,245.5,110.2,20.5,5.6,8.6,
AMRITSAR,"(31.6343083, 74.8736788)",29,35.4,20.9,17.1,43.1,211.4,194.1,89,28.7,7.6,15,
BATHINDA,"(30.17911535, 75.04710156312628)",17.4,13,8,9.7,33.5,109.6,115.4,62.5,19.2,2.7,5.4,
FEROZEPUR,"(30.6839733, 76.3594033)",14.5,21.3,9.3,15.4,31.3,128.4,124.7,67.9,12.3,5.1,9.7,
GURDASPUR,"(32.166667, 75.316667)",49.9,53.8,25.7,21.3,57.1,324.6,319.9,126.2,37.2,11,25.8,
HOSHIARPUR,"(31.60857425, 75.84644246890946)",39.8,39.8,16,20.4,74.9,275.7,241.5,125.8,31.5,9.3,20,
JALANDHAR,"(31.29201065, 75.56805772253911)",28.6,30.7,13.7,20.2,48.5,203.9,188.1,111,21.9,7.3,16.6,
KAPURTHALA,"(31.38524095, 75.30552273989395)",21,25.8,9.5,14.1,37.1,166.3,136.5,82.7,31.4,5.4,10.6,
LUDHIANA,"(30.9090157, 75.851601)",26.1,26.5,12.1,16.6,51.2,203,178.3,101.7,25.7,5.4,14.7,
PATIALA,"(30.2090874, 76.3398720856221)",24.7,20.9,9.3,15.3,54.9,235.9,208.5,115.9,21.1,4.3,14.5,
RUPNAGAR,"(31.09168085, 76.5272673916138)",38.9,51.2,14.7,25.6,65.4,291,252.9,119.2,19.7,13.2,23.1,
SANGRUR,"(30.135825699999998, 75.8535154380713)",19.3,15.9,10.4,18.7,44.8,160.5,145.8,85.7,20.4,4.7,12.9,
FARIDKOT,"(30.60092505, 74.79477422840449)",14.3,17,8.1,13.9,36,120,103.8,65.3,9.8,3.8,7.5,
MOGA,"(30.7839866, 75.16057422541162)",13.4,15,9.7,15.7,33.7,123,133.5,63.8,20.9,3.1,7.5,
NAWANSHAHR,"(31.126888899999997, 76.15768480633812)",39.9,38.6,15.9,19.2,85.3,309.6,254.9,138.8,29.6,10.1,24.9,
MUKTSAR,"(30.4692, 74.5182)",12.7,18.2,7,10.9,31.2,113,107.5,60.1,11.2,3.5,7.5,
MANSA,"(29.8769971, 75.4889866137018)",18.4,11.3,7.2,8.9,30.3,110.9,122.8,70.8,18.2,2.4,6.3,
BARNALA,"(30.3704685, 75.504017418548)",16.9,10,11.5,9.6,30.3,129.4,117.5,78.4,18.3,3.9,8.9,
TARN TARAN,"(31.351007, 75.1501011)",18.3,21.5,10.4,12.4,23.5,133.6,111.4,68.3,17.8,4.5,9.5,
BILASPUR,"(28.8680526, 79.29838501460121)",66.8,54,26.1,41.1,107.4,311.8,304.2,153.6,27,14,28.7,
CHAMBA,"(32.518429, 76.23086565661742)",112.8,120.3,51.2,53.4,132.4,567.3,479.2,227.5,48.7,21.9,56.2,
KANGRA,"(32.166667, 76.25)",80.2,84.9,39.9,45.1,145.6,583.2,619.4,233.9,48.1,15.8,40.7,
KINNAUR,"(31.5864184, 78.396745)",107.8,113.9,77.4,69.4,37.1,75,81.3,70.8,35.4,17.5,48.7,
KULLU,"(32.00186325, 77.37899639741332)",97,135.2,79.5,72.1,82.4,184.8,165.9,86.6,32,23.4,42.3,
LAHUL & SPITI,"(32.53924315, 77.19817948616455)",137.1,176.6,108.9,91.7,52.4,164.5,139.9,101.4,52.2,29.6,61.7,
MANDI,"(31.6723392, 76.95331690779145)",67.5,81.7,48.3,64.3,160.1,411.2,370.1,152,34.4,15.3,30.9,
HAMIRPUR,"(25.75, 80.0)",61.4,59.1,27.1,42.7,143.3,384.8,391.2,159.6,41.1,13.9,31,
SHIMLA,"(31.1041526, 77.1709729)",70.3,80,48.3,65,104.7,226.9,189,113.3,32.6,13.9,28.3,
SIRMAUR,"(30.75, 77.5)",53.3,42.4,20.4,31.9,140.9,508,485.6,190.1,44,9.2,34.1,
SOLAN,"(30.92589585, 77.08200509063624)",66.1,62.6,27.9,48.8,130.3,368.4,331.8,169.6,44.1,12.9,32,
UNA,"(31.583333, 76.25)",45.1,40.9,17.2,26.8,67.6,340,310.3,144.8,32.1,15.5,24.1,
ANANTNAG,"(33.7368773, 75.1455138)",100.7,152.7,113.4,101.1,65.2,87.4,82.1,50.4,39.5,38.5,55.4,
BARAMULLA,"(34.205005650000004, 74.36221081111597)",157,189.6,145.9,111.4,60.5,71.2,70,46,47.6,35.9,80.8,
DODA,"(33.1449112, 75.5473969)",161.8,213.5,127.5,100.4,72.6,146.4,125.8,96.6,40.9,46.5,84.1,
JAMMU,"(32.7185614, 74.8580917)",66.6,68.9,37.2,39.9,63.9,366.6,323.6,106.4,31.5,15.7,34.7,
KATHUA,"(32.4288215, 75.56286458392415)",59,45.4,20,12.5,62.5,387.8,404.2,127.5,29,8.6,26,
LADAKH (LEH),"(34.1642029, 77.5848133)",7.3,8.8,8,8,3.8,13.1,14.1,8.6,7.2,3.6,4,
UDHAMPUR,"(33.0, 75.166667)",120.3,134.8,64.3,41.1,91.5,514.7,551.1,219.9,42.6,24.8,60.3,
BADGAM,"(34.0154721, 74.7220085)",65.9,106.8,88.1,79.3,35.3,55.5,55.1,40.5,32.8,27.7,28.1,
KUPWARA,"(34.611023599999996, 74.238478667319)",126.3,240.6,154.8,99.6,59,88,74.7,31.5,51.1,52,68,
PULWAMA,"(33.8756947, 74.9003129)",48.2,77.2,72.4,57.9,25.5,42.5,47.4,36,21,12.9,21.1,
SRINAGAR,"(34.0747444, 74.8204443)",68.8,104,86.8,68,37.4,55.6,60.9,30.4,31.7,29,44.3,
KARGIL,"(34.5594418, 76.1255982)",25.6,25.1,19.7,22,5.5,11.6,24,8.6,14.5,20.6,20.5,
POONCH,"(33.8572218, 73.7604031)",124.2,158.5,99,69.6,116.6,344.2,191.5,108.2,27.4,40.4,55.6,
RAJOURI,"(33.3772495, 74.3132332)",66.7,60.6,23.6,27.5,46.4,249,253.8,100.3,38.8,11.3,19.9,
BANDIPORE,"(34.4563234, 74.68249997667994)",93.3,119.6,89.4,63.5,30.8,46.1,57.8,33.9,38,26.6,32.7,
KULGAM/(ANT),"(33.7385845, 75.1074346)",70.6,131.9,130.6,107.1,41.6,79.9,78.8,68.6,38.1,27.8,28,
SHOPAN,"(35.6969953, 139.7689027)",72.9,119.1,121.3,90.8,42.7,85.1,91.9,46,31.9,28.6,39.9,
SAMBA,"(12.7052899, -2.4007251419869844)",66.6,68.9,37.2,39.9,63.9,366.6,323.6,106.4,31.5,15.7,34.7,
REASI,"(33.069103150000004, 74.8378698208889)",93,84.6,43.5,40,83.2,440.5,556.9,242,42.2,12.2,56.9,
BARMER,"(25.75, 71.5)",1.7,2.3,3.2,9.1,27.4,88.6,86.7,40.7,4.1,3.2,0.4,
BIKANER,"(28.0159286, 73.3171367)",7.8,5.7,4.1,14.3,29.2,85.7,74.6,39.2,4.4,2.5,2.4,
CHURU,"(28.5, 74.5)",7.4,6.3,4.9,16.4,37.7,126.6,101.7,47.7,9.9,2.4,2.4,
SRI GANGANAGA,"(29.9270556, 73.8761519)",8,9.3,7,11.6,25.5,79.3,64.9,31.7,3.1,2.1,4.4,
JAISALMER,"(26.921761, 70.9191144)",2.9,2.2,3.8,6.6,19.4,59.3,56.9,22.8,3.1,1.5,1,
JALORE,"(25.3476006, 72.6260916)",1.1,2.6,1.4,8.2,34.5,161.1,132.2,66.4,9.2,7.6,1,
JODHPUR,"(26.2967719, 73.0351433)",3.1,2.7,5.2,11.1,27.9,109.5,94.6,42.5,4.9,2.7,1,
NAGAUR,"(27.0237969, 74.2037201)",5.5,2.7,4.7,15.3,42.5,142.6,116,47.4,7.9,2.6,2.8,
PALI,"(48.8534951, 2.3483915)",2.5,2.9,2.7,9.5,41.9,177.3,152.9,74.6,11.9,4.6,1.2,
HANUMANGARH,"(29.5760254, 74.3342203)",8.6,5.7,4.9,13,32.2,103.4,83.4,33.5,3.4,3.6,2.4,
AJMER,"(26.4691, 74.639)",2,2.1,2.2,8.9,43.6,171,155,60,9.7,2.5,1.5,
ALWAR,"(27.5, 76.5)",10.2,5.6,5.5,15.8,44.2,196.9,213.3,100.9,20,4.1,4.8,
BANSWARA,"(23.5, 74.333333)",0.5,1.6,0.9,5.2,97.7,284.3,302.5,147.3,24.4,12.6,3.2,
BHARATPUR,"(27.6879749, 84.43607127241971)",8.9,5.3,3.8,11.2,40.4,184.7,229.8,102.7,17.7,3.4,3.9,
BHILWARA,"(25.4889628, 74.71640140204903)",3.8,3.9,3,10.4,60,213.6,217.7,89.6,11.7,8,3.7,
BUNDI,"(25.5, 75.833333)",3.3,3.3,2.3,6.6,62.2,256.6,235.8,101.3,16.7,8.3,3.6,
CHITTORGARH,"(24.8837157, 74.6244155)",1.5,2.7,3.3,10.1,71.5,249.9,269.9,118.4,18.1,13.2,2.4,
DUNGARPUR,"(23.666667, 73.75)",0.6,1.8,1.2,4.6,77.1,228.5,221.9,110.3,14.8,12.6,2.7,
JAIPUR,"(26.9154576, 75.8189817)",7.5,2.4,3.9,15,52.1,206.9,192.5,73.1,11.8,2.7,2.6,
JHALAWAR,"(24.416667, 76.25)",2.3,3.4,1.4,7,84.1,285.8,335.8,149.4,27,11.6,5.6,
JHUNJHUNU,"(28.1287995, 75.3992581)",9.1,6.3,5,20.7,52.9,153.1,144,60,13.3,3.5,5.4,
KOTA,"(25.1737019, 75.8574194)",3.2,3.2,2.5,6.9,69.8,275.2,276.8,124.5,24.9,10.6,3.5,
SAWAI MADHOPUR,"(26.5, 76.75)",6.4,2.9,2.9,9.8,53.9,253.4,264.5,92.2,19.4,4.7,3.6,
SIKAR,"(27.66241555, 75.02799709983499)",8.3,4.2,4.7,19.1,48.2,167.1,134,53.2,10.7,3.8,3.3,
SIROHI,"(24.833333, 72.75)",1.5,3.2,2.7,10.1,72.2,332,313,151.4,12.9,8.6,1.7,
TONK,"(26.1647019, 75.576596)",5.3,2.7,3,10.1,56.1,219.7,210.5,79.7,13.9,4.9,3,
UDAIPUR,"(24.578721, 73.6862571)",2,4.3,2.2,8.2,73.6,207.5,203.7,106.5,15.2,11.1,2.6,
DHOLPUR,"(23.3812393, 76.816535)",9.5,7,2.5,8.6,54.5,211.7,266.1,117.7,26.3,4.3,5.3,
BARAN,"(24.92077465, 76.68218371245564)",3.2,2.8,1.7,6.5,73.3,295.3,303.6,120,25.2,9.7,4.3,
DAUSA,"(26.893342, 76.3376514)",7,4.2,4.1,12.8,52.4,237,228.2,94.5,17.1,4.7,4.1,
RAJSAMAND,"(25.0585825, 73.8880816)",2.2,3.7,2.6,12.3,68.1,176.8,177.6,83.5,13.7,6.9,3.1,
KARAULI,"(26.4956, 77.0275)",7.7,3.5,2.4,9.9,50.8,220.5,269.8,96.3,17,5.4,3.8,
BETUL,"(21.8796162, 77.87568124563079)",8.5,9.3,5.9,6.4,137,290.6,293.4,197.5,49.4,13.4,9.9,
VIDISHA,"(23.5225788, 77.8148001)",8.2,5.1,1.4,4.4,110.3,356.2,376,162.5,24,11.9,10.8,
BHIND,"(26.5, 78.75)",7.1,4.2,1.3,4.6,55.6,221.5,261.4,147,39.5,3.9,6.9,
DATIA,"(25.75, 78.5)",8.5,5,3.4,6.6,62.2,246,293,174.6,39.8,4.1,7.9,
DEWAS,"(23.0, 76.166667)",4,3.8,1.3,6.2,127.9,311.6,330.7,179.6,34.4,13.5,10.9,
DHAR,"(22.5, 75.25)",1,1.4,0.8,4.1,126.4,266.3,261.5,172.6,34.8,11.1,2.8,
GUNA,"(24.5, 77.5)",7.1,6.3,2.7,8.6,87.3,336.6,356,163.1,28.6,10.6,9.3,
GWALIOR,"(26.2037247, 78.1573628)",8.6,5.5,3.7,8.2,71.8,258,289.7,171.1,41.5,5.1,8.2,
HOSHANGABAD,"(22.6503147, 77.7509281)",8.3,9.1,3.2,8.1,140.3,416.6,464.4,267.8,37.4,15,10.2,
INDORE,"(22.7203616, 75.8681996)",2.3,1.8,1.2,8.3,120.4,270.9,266.9,181.5,38.3,14.1,5.7,
JHABUA,"(22.88585225, 74.72513368804519)",0.3,0.9,0.9,7.8,108.2,240.6,248.3,148.2,39,12.4,3.6,
MANDSAUR,"(24.2627979, 75.38588022856008)",1.8,3.8,3.9,3.6,81.7,276.7,276.9,144.7,35.8,13,3.3,
MORENA,"(26.166667, 77.5)",7.5,5.3,2.6,6.5,52.7,236,284.1,135.4,25.8,3,6.4,
KHANDWA,"(21.9778642, 76.5688282326971)",4.1,5.8,2,9.7,125.3,268.1,279,178.4,35.4,14.6,10.3,
KHARGONE,"(21.825599, 75.614182)",2.8,2.1,1.4,7.1,131.5,229.2,237.3,160.5,31.5,10.7,7.8,
RAISEN,"(23.25, 78.083333)",9.4,6.4,1.8,6.4,128.9,373.1,405.9,206.9,32.9,9.9,8.7,
RAJGARH,"(23.87167135, 76.7748902040889)",3.9,4.8,1.4,5.6,94.6,301.5,339.5,154.6,27,14.6,9.1,
RATLAM,"(23.502187, 74.95397841237119)",1.9,2.1,2,5.1,103.9,295.4,299.2,172.8,41.1,12.7,6.9,
