location,Coords,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
SALEM,"(44.9391565, -123.033121)",7.5,16,54,100.8,65.1,96.4,119.6,159.5,190.9,123.8,55.8,
THANJAVUR,"(10.7860267, 79.1381497)",15.4,17.3,30.5,54.3,39.8,65,101.8,111.8,183.8,219.2,147.3,
TIRUCHIRAPPALLI,"(10.804973 , 78.6870296)",9.1,11.8,38.4,59.7,31.5,53.2,73.8,135.4,173.2,139.9,78.4,
TIRUNELVELI,"(8.7012203, 77.5792694)",33.9,48.1,70.4,47.7,37.9,39.5,26.8,38.2,157.5,210.1,99.6,
ERODE,"(11.369204400000001, 77.67662686841793)",9.5,16.8,44.5,81.1,27.5,38.9,57.6,105.8,158.9,110.5,45.2,
PUDUKKOTTAI,"(10.5, 78.833333)",9.9,13.5,34.2,49.8,44.6,79.3,109,117.7,158,147.1,101.1,
DINDIGUL,"(10.3303299, 78.0673979084697)",11.9,22.4,62.6,83,41.2,55.9,70.5,127.8,188.1,159,89.3,
VIRUDHUNAGAR,"(9.5208936, 77.8784563961865)",24,28.8,67.5,65.2,22.1,35.8,51.4,87.5,180.7,172.7,65.6,
SIVAGANGA,"(9.851231, 78.53047154820717)",12.3,17.5,46.1,57.6,41.9,72,88.2,98.9,187.1,148.5,87.1,
THOOTHUKUDI,"(8.8052602, 78.1452745)",18.2,29.1,51.5,31,7.1,15.9,15.8,36.1,151.3,185.4,90.3,
TIRUVANNAMALAI,"(12.22713775 , 79.07012882091152)",11.8,11.4,19.3,68.2,62.4,96,142.3,167.4,194.2,170.2,82.1,
NAGAPATTINAM,"(10.805627600000001, 79.824659783024)",23.1,18.5,24,38,36.8,59.9,93,96.4,241.2,411.7,288.1,
VILUPPURAM,"(11.9137874, 79.50789297942772)",9.7,9.3,16.3,50.4,48.9,83.9,130.2,145.3,186.5,195.1,117.5,
CUDDALORE,"(11.7564329, 79.7634644)",16.2,14.6,17,50.1,47.3,75.1,129.2,131.5,220.2,295.3,182.3,
KANCHIPURAM,"(12.9647163, 79.9839686)",11.8,3.3,16.4,46.3,68.4,109.5,164.1,148.8,225.8,283,133,
TIRUVALLUR,"(13.1394221, 79.9070839)",13.5,5.1,13.7,48.4,68.6,110.3,135.4,137.3,211,261.3,117,
THENI,"(9.969664300000002, 77.47420048524822)",19.4,35.4,73.4,59.5,22,32.6,33.3,70.5,167.7,139,51.2,
NAMAKKAL,"(11.284224850000001, 78.16615283668403)",7.4,12.7,44.1,91.8,44,68,97.4,129.9,156.8,98.8,36,
KARUR,"(10.9301522, 78.08485454572889)",7.8,10.4,38,60.8,19.8,35.7,51.8,106.3,144.6,119.1,51,
PERAMBALUR,"(11.2287716, 78.8182555496278)",8.3,12.7,30.8,65.4,32.6,50.3,81.9,125.9,191,155,94.9,
TIRUVARUR,"(10.8206435, 79.5678952)",19.2,17.2,33.7,46.8,33.4,64,94,105,200.3,304,214.8,
KRISHNAGIRI,"(12.5188835, 78.2206536)",5.8,12.3,39.9,99.4,55.9,75.4,96.4,171.3,176.9,77.9,34.6,
ARIYALUR,"(11.076035950000001, 79.11745538182738)",11.3,13.1,21.9,66.8,51.5,72.7,129.2,138.6,193.4,205.2,146.9,
TIRUPUR,"(11.127834, 77.3415747)",6.9,13.4,48,73.7,22,27.1,31.7,74,147.7,120,46.6,
PONDICHERRY,"(10.91564885, 79.80694879844232)",19.6,16.6,10.7,43.6,46.9,84.3,127.8,126,270.7,368.5,203.9,
KARAIKAL,"(10.91571, 79.8375761)",42.9,17.1,17,32.5,50,59.2,82.3,101.6,275.7,475.1,297.7,
MAHE,"(11.7021978, 75.5364701)",19.6,16.6,10.7,43.6,46.9,84.3,127.8,126,270.7,368.5,203.9,
YANAM,"(16.7333666, 82.2145164)",19.6,16.6,10.7,43.6,46.9,84.3,127.8,126,270.7,368.5,203.9,
UDUPI,"(13.3419169, 74.7473232)",0.4,4.1,29.4,193.8,1081,1371.6,902.2,404.9,223.8,74.6,18.8,
BELGAM,"(-7.4552105, 109.2865986)",0.9,6.2,30.2,74.8,130.4,204,126.7,113,116.6,30.6,5.1,
BIDAR,"(43.4391702, -1.5898909)",6.1,10.1,21.7,31.4,137.1,190.7,196.6,170.5,93.5,20.9,6.2,
BIJAPUR,"(18.7935679, 80.815939)",2.7,5.2,20.1,46.5,94.5,91.8,91.3,158.4,111.7,24.9,6.9,
DHARWAD,"(15.4540505, 75.0066516)",3.2,6.9,46.6,82.5,113.8,149.1,101.6,119.5,120.4,39.6,6.2,
GULBARGA,"(17.166667, 77.083333)",2.9,6.2,19.7,36.4,112.8,156.1,167.6,184,105.3,20.8,4.5,
YADGIR,"(16.7670964, 77.1403984)",3.6,5.2,20.5,36.8,116.8,153,161.2,179.8,123.4,24.5,5.3,
RAICHUR,"(16.083333, 77.166667)",2,4.1,17.7,40.5,81.7,110.2,122.2,147.5,110.5,21.4,5.9,
BAGALKOTE,"(16.1853166, 75.6967919)",1.5,4.5,23.5,57.3,80.1,73.6,72.5,137.1,112.8,25.3,7,
GADAG,"(15.4322943, 75.63522438164131)",1,3.9,33.5,71.7,85.1,70.4,75.3,137.5,121.1,33,7.5,
HAVERI,"(14.7874825, 75.3996731)",0.5,4,43.6,78.5,114.7,169.8,111.1,99.5,119,43.9,7,
KOPPAL,"(15.3484144, 76.1547421)",0.4,2.5,19.2,50.5,72.2,75.6,89.1,145.7,108.1,25.8,8,
BANGALORE RURAL,"(13.0010872 , 77.3361225)",5.8,7.6,36.2,93.1,71.2,91.7,118.1,170.9,171.8,55.4,13.5,
BELLARY,"(15.1433952, 76.9193876)",1.4,2.9,26.2,57.9,72.4,77,89.3,137.3,116.3,31.1,9.6,
CHIKMAGALUR,"(13.318014, 75.7738743)",2,12,60.2,105.9,395,662.1,425,175.2,167.4,58.8,12.3,
CHITRADURGA,"(14.2266443, 76.4005122)",1.2,4.4,25.8,64.9,50.5,56.1,58.9,105.5,116.4,33.8,8.8,
KODAGU,"(12.38217745, 75.66531991685233)",4.2,18.5,89.8,152.7,542.2,884.4,543.9,211.4,201.7,71.6,17.5,
HASSAN,"(13.0070817, 76.0992703)",2.5,10.7,55.1,102.2,125,203.8,130,115.5,156,54.1,10.9,
KOLAR,"(13.1367201, 78.1337246)",4.5,10.4,27.8,74.4,63.3,76.4,91.2,151.8,148.2,58.8,21.6,
MANDYA,"(12.5238888, 76.8961961)",3.6,7.6,45.3,105.1,48.7,49.3,58.9,128.2,153.1,47,14,
MYSORE,"(12.3051828, 76.6553609)",3.5,11.4,58.7,124.6,79.7,92.4,64.8,106.7,152.4,48.8,13.1,
SHIMOGA,"(13.9326093, 75.574978)",0.4,6.3,38,78.3,346.8,624.3,403.8,139.1,137.5,44.6,8.3,
TUMKUR,"(13.3400771, 77.1006208)",3,7.1,34,87.1,61.5,69.7,79.5,148.5,148.9,46.7,10.1,
BANGALORE URBAN,"(12.94514225 , 77.55364499971128)",6.7,8.2,39.2,106.3,73.9,91.6,128.9,181.3,159.7,53.9,18,
CHAMARAJANAGA,"(11.9346006 , 76.9328209)",6,13.2,69.2,131.2,61.8,68.7,66,124.1,157.8,62.7,24.3,
DAVANGERE,"(14.4679807, 75.9195682)",0.8,4.2,35,74,78.7,102.9,87,116.3,124.4,44.9,7.4,
CHICKBALLAPUR,"(13.4387854, 77.7205744)",4.6,8.2,27.2,69.4,64.3,89.2,104.9,153.4,156.8,52.9,15.5,
ALAPPUZHA,"(9.5006651, 76.41241428564258)",27.9,45.1,134,298.7,593,533,343.1,276.8,332.9,187.6,51.6,
CANNUR,"(41.0402591, 28.8444557)",2,7.6,57.9,235,852.4,1055,540.9,220.7,229.4,91.6,24.1,
ERNAKULAM,"(9.98408, 76.2741457)",18.8,31.2,112,300.4,696.4,670.2,401.3,297.1,299.9,145,44.4,
KOTTAYAM,"(9.6287383, 76.64553257390992)",24.9,42.3,136.1,281.8,649.1,591.4,386,270.8,316.6,177.4,41.1,
KOZHIKODE,"(11.2450558, 75.7754716)",3.9,15.1,80.9,256.6,895.8,955.2,500.9,251.2,262.1,130.1,30,
MALAPPURAM,"(11.10684475, 76.10995510466662)",3.9,12.7,86.8,221.3,660.9,792.9,395.3,211.3,290.4,135.1,22.8,
PALAKKAD,"(10.78736915, 76.47421718925105)",6.5,22.5,98.7,158.7,464.3,595.4,333.8,179.2,263.8,138.6,25.6,
KOLLAM,"(8.8879509, 76.5955013)",33.7,62.6,158.5,248.5,457.7,398,258.7,217.9,362.7,221.4,54.5,
THRISSUR,"(10.5256264, 76.2132542)",7.5,17,79.2,289.1,707.4,772.9,440.1,277.1,296.3,138.1,35,
THIRUVANANTHAPURAM,"(8.4882267 , 76.947551)",21.1,35.5,116.7,216.6,338.7,228.9,142,161.7,268,192,62.7,
IDUKKI,"(9.8497872, 76.9797914)",22.1,43.6,150.4,232.6,651.6,788.9,527.3,308.4,343.2,172.9,48.1,
KASARGOD,"(12.4914722, 74.9877613)",1,8.4,46.9,217.6,999.6,1108.5,636.3,263.1,234.9,84.6,18.4,
